,full_address,neighborhood,nid,sale_price,prediction,difference,shap
35,"2683 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1200000,1123981,-76018,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 47th  Cons: 1) comp_price = 1009447 2) nid = 2020 3) longitude = -122.505325 
36,"1889 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1500000,1341466,-158533,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 46th  Cons: 1) comp_price = 1255704 2) lot_sf = 2063.0 3) nid = 2030 
37,"2066 46th, San Francisco, CA 94116-1007",2 - Outer Parkside,2020,1030000,1279852,249852,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) comp_price = 1115346 2) baths = 1.0 3) nid = 2020 
38,"2087 46th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1710000,1226354,-483645,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 46th  Cons: 1) comp_price = 1212052 2) lot_sf = 1746.0 3) nid = 2020 
39,"4327 Cabrillo St, San Francisco, CA 94121",1 - Outer Richmond,1050,1430000,1602445,172445,Pros: 1) year_sold = 2018 2) latitude = 37.773487 3) park_leased = ONST  Cons: 1) comp_price = 1461142 2) nid = 1050 3) longitude = -122.50500500000001 
40,"2190 46th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,2300000,1801033,-498966,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) nid = 2020 2) longitude = -122.5049 3) beds = 4 
41,"663 44th Ave, San Francisco, CA 94121-2506",1 - Outer Richmond,1050,1510000,1519010,9010,Pros: 1) year_sold = 2018 2) latitude = 37.776096 3) park_leased = ONST  Cons: 1) baths = 1.0 2) comp_price = 1477946 3) nid = 1050 
42,"710 44th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1550000,1422569,-127430,Pros: 1) year_sold = 2018 2) latitude = 37.775063 3) park_leased = ONST  Cons: 1) comp_price = 1388925 2) lot_sf = 1750.0 3) nid = 1050 
43,"2310 46th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1578000,1477311,-100688,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) baths = 2.5  Cons: 1) comp_price = 1406307 2) lot_sf = 2063.0 3) nid = 2020 
44,"764 44th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1725000,1659355,-65644,Pros: 1) year_sold = 2018 2) latitude = 37.7742 3) park_leased = ONST  Cons: 1) baths = 1.0 2) comp_price = 1509431 3) nid = 1050 
45,"4515 Ulloa St, San Francisco, CA 94116",2 - Outer Parkside,2020,1180000,1163415,-16584,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 3.0  Cons: 1) comp_price = 1036079 2) baths = 1.0 3) nid = 2020 
46,"1815 45th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1369233,69233,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 45th  Cons: 1) comp_price = 1381130 2) lot_sf = 2063.0 3) nid = 2030 
47,"1894 45th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1216596,-83403,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 45th  Cons: 1) comp_price = 1093270 2) lot_sf = 1746.0 3) nid = 2030 
48,"1238 44th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1315000,1290478,-24521,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.763477  Cons: 1) comp_price = 1159727 2) baths = 1.0 3) nid = 2030 
49,"522 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1460000,1587997,127997,Pros: 1) year_sold = 2018 2) latitude = 37.778664 3) park_leased = ONST  Cons: 1) comp_price = 1441252 2) nid = 1050 3) longitude = -122.503975 
50,"4229 Cabrillo St, San Francisco, CA 94121",1 - Outer Richmond,1050,1000000,1321367,321367,Pros: 1) year_sold = 2018 2) latitude = 37.773533 3) park_leased = ONST  Cons: 1) comp_price = 1191890 2) baths = 1.0 3) nid = 1050 
51,"1278 44th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,2500000,1871964,-628035,Pros: 1) year_sold = 2018 2) baths = 3.5 3) park_leased = ONST  Cons: 1) nid = 2030 2) longitude = -122.50394399999999 3) rooms = 7.5 
52,"2194 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,950000,1222846,272846,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 45th  Cons: 1) comp_price = 1189361 2) baths = 1.0 3) lot_sf = 2065.0 
53,"638 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1400000,1625113,225113,Pros: 1) year_sold = 2018 2) latitude = 37.77653 3) park_leased = ONST  Cons: 1) comp_price = 1464983 2) baths = 1.0 3) nid = 1050 
54,"2200 45th Ave, San Francisco, CA 94116-2716",2 - Outer Parkside,2020,770000,1250311,480311,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) comp_price = 1120564 2) baths = 1.0 3) nid = 2020 
55,"2200 45th Ave, San Francisco, CA 94116-1503",2 - Outer Parkside,2020,1000000,1097101,97101,Pros: 1) year_sold = 2018 2) rooms = 4.0 3) street_name = 45th  Cons: 1) comp_price = 1120564 2) baths = 1.0 3) nid = 2020 
56,"674 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1750000,1652166,-97833,Pros: 1) year_sold = 2018 2) latitude = 37.775954999999996 3) park_leased = ONST  Cons: 1) nid = 1050 2) rooms = 8.0 3) longitude = -122.50378 
57,"1423 44th Ave, San Francisco, CA 94122-2928",2 - Outer Sunset,2030,1090000,1305879,215879,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.760017  Cons: 1) comp_price = 957661 2) nid = 2030 3) longitude = -122.50375 
58,"2301 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1170140,1145011,-25128,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 45th  Cons: 1) comp_price = 1148313 2) lot_sf = 1438.0 3) baths = 1.0 
59,"842 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1950000,1833128,-116871,Pros: 1) year_sold = 2018 2) latitude = 37.772736 3) baths = 3.0  Cons: 1) nid = 1050 2) longitude = -122.50353999999999 3) view_count = 1 
60,"2415 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1055000,1064676,9676,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 45th  Cons: 1) comp_price = 1082250 2) lot_sf = 1071.0 3) baths = 1.0 
61,"876 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1760000,1850770,90770,Pros: 1) year_sold = 2018 2) baths = 4.0 3) latitude = 37.77219  Cons: 1) nid = 1050 2) rooms = 8.0 3) longitude = -122.5035 
62,"2442 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1350000,1334693,-15306,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 45th  Cons: 1) comp_price = 1344020 2) baths = 1.0 3) nid = 2020 
63,"3725 Ortega St, San Francisco, CA 94122",2 - Outer Sunset,2030,1150000,1237007,87007,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 3.0  Cons: 1) comp_price = 1055976 2) baths = 1.0 3) nid = 2030 
64,"1701 44th Ave, San Francisco, CA 94122-4013",2 - Outer Sunset,2030,1100000,1094279,-5720,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.754776  Cons: 1) comp_price = 974863 2) lot_sf = 1438.0 3) baths = 1.0 
65,"2583 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1330000,1204520,-125479,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 45th  Cons: 1) comp_price = 1168922 2) baths = 1.0 3) nid = 2020 
66,"1841 44th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1327122,127122,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) comp_price = 1049162 2) nid = 2030 3) longitude = -122.50321000000001 
67,"4220 Irving St, San Francisco, CA 94122",2 - Outer Sunset,2030,1442000,1438298,-3701,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.76242  Cons: 1) comp_price = 1261476 2) nid = 2030 3) longitude = -122.50311 
68,"1967 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1500000,1263778,-236221,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 44th  Cons: 1) comp_price = 1029991 2) nid = 2020 3) longitude = -122.50306 
69,"1987 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1315000,1194527,-120472,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 44th  Cons: 1) comp_price = 1203732 2) baths = 1.0 3) lot_sf = 1746.0 
70,"635 42nd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1550000,1489489,-60510,Pros: 1) year_sold = 2018 2) latitude = 37.77664 3) park_leased = ONST  Cons: 1) comp_price = 1369341 2) baths = 1.0 3) nid = 1050 
71,"1425 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1550000,1451601,-98398,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.760033  Cons: 1) comp_price = 1167768 2) nid = 2030 3) longitude = -122.50268 
72,"786 42nd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1285000,1572265,287265,Pros: 1) year_sold = 2018 2) latitude = 37.773945 3) park_leased = ONST  Cons: 1) comp_price = 1445365 2) nid = 1050 3) longitude = -122.50255 
73,"851 42nd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,2100000,1820110,-279889,Pros: 1) year_sold = 2018 2) latitude = 37.772655 3) baths = 3.0  Cons: 1) nid = 1050 2) longitude = -122.50247 3) beds = 4 
74,"2419 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,800000,1263095,463095,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 44th  Cons: 1) comp_price = 1186708 2) baths = 1.0 3) nid = 2020 
75,"1731 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1390000,1396216,6216,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.754329999999996  Cons: 1) comp_price = 1213378 2) nid = 2030 3) longitude = -122.50228 
76,"1750 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1260000,1331457,71457,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.754013  Cons: 1) comp_price = 1189401 2) nid = 2030 3) longitude = -122.50223999999999 
77,"1814 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1600000,1319476,-280523,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.752734999999994  Cons: 1) comp_price = 1166113 2) lot_sf = 2063.0 3) nid = 2030 
78,"2651 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1105000,1512372,407372,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) comp_price = 1414605 2) nid = 2020 3) longitude = -122.50215 
79,"1846 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1159900,1230508,70608,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) comp_price = 1084886 2) baths = 1.0 3) nid = 2030 
80,"1979 43rd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1400000,1253220,-146779,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 43rd  Cons: 1) comp_price = 1189216 2) beds = 5 3) nid = 2020 
81,"3217 Santiago St, San Francisco, CA 94116",2 - Outer Parkside,2020,1350000,1217976,-132023,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) comp_price = 1048309 2) lot_sf = 1873.0 3) nid = 2020 
82,"2194 43rd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1625711,1235826,-389884,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 43rd  Cons: 1) comp_price = 1173756 2) lot_sf = 1746.0 3) nid = 2020 
83,"1450 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1410000,1441314,31314,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.759665999999996  Cons: 1) comp_price = 1414987 2) baths = 1.0 3) nid = 2030 
84,"811 41st Ave, San Francisco, CA 94121-3320",1 - Outer Richmond,1050,1500000,1454669,-45330,Pros: 1) year_sold = 2018 2) latitude = 37.773342 3) park_leased = ONST  Cons: 1) comp_price = 1363067 2) baths = 1.0 3) nid = 1050 
85,"1662 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1251662,1325355,73693,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.755733  Cons: 1) comp_price = 1192616 2) baths = 1.0 3) nid = 2030 
86,"3509 Noriega St, San Francisco, CA 94122",2 - Outer Sunset,2030,1150000,1319045,169045,Pros: 1) year_sold = 2018 2) rooms = 1.0 3) park_leased = ONST  Cons: 1) comp_price = 1201334 2) baths = 1.0 3) lot_sf = 1698.0 
87,"3927 Clement St, San Francisco, CA 94121",1 - Outer Richmond,1050,1600000,1749352,149352,Pros: 1) year_sold = 2018 2) latitude = 37.781258 3) park_leased = ONST  Cons: 1) baths = 1.0 2) nid = 1050 3) longitude = -122.50126999999999 
88,"1710 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1192738,-7261,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 3.0  Cons: 1) comp_price = 1062478 2) baths = 1.0 3) lot_sf = 1750.0 
89,"2559 43rd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1350000,1193122,-156877,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) comp_price = 1030046 2) baths = 1.0 3) nid = 2020 
90,"1739 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1390000,1378769,-11230,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.754253000000006  Cons: 1) comp_price = 1262440 2) nid = 2030 3) longitude = -122.501205 
91,"7633 Geary Blvd, San Francisco, CA 94121",1 - Outer Richmond,1050,1600000,1946798,346798,Pros: 1) year_sold = 2018 2) latitude = 37.779284999999994 3) comp_price = 1810080  Cons: 1) nid = 1050 2) longitude = -122.50118 3) beds = 4 
92,"1822 42nd, San Francisco, CA 94122",2 - Outer Sunset,2030,1400000,1502904,102904,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.75265  Cons: 1) comp_price = 1413106 2) nid = 2030 3) longitude = -122.501076 
93,"1946 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1400000,1201822,-198177,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 42nd  Cons: 1) comp_price = 1112921 2) baths = 1.0 3) nid = 2020 
94,"3218 Rivera St, San Francisco, CA 94116",2 - Outer Parkside,2020,1470000,1183044,-286955,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = Rivera  Cons: 1) comp_price = 1022959 2) baths = 1.0 3) nid = 2020 
95,"2023 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1376000,1332756,-43243,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 42nd  Cons: 1) comp_price = 1068111 2) nid = 2020 3) longitude = -122.500824 
96,"1242 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1250000,1319096,69096,Pros: 1) year_sold = 2018 2) latitude = 37.76355 3) street_name = 41st  Cons: 1) comp_price = 1336582 2) baths = 1.0 3) nid = 2030 
97,"1350 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1902000,1728630,-173369,Pros: 1) year_sold = 2018 2) baths = 4.0 3) park_leased = ONST  Cons: 1) rooms = 9.0 2) beds = 5 3) nid = 2030 
98,"1371 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1484722,184722,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.761257  Cons: 1) comp_price = 1449476 2) baths = 1.0 3) nid = 2030 
99,"1391 41st Ave, San Francisco, CA 94122-1206",2 - Outer Sunset,2030,1225000,1321250,96250,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.760937  Cons: 1) comp_price = 1142957 2) lot_sf = 2060.0 3) nid = 2030 
100,"1390 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1235000,1624714,389714,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.760937  Cons: 1) comp_price = 1499955 2) nid = 2030 3) longitude = -122.50058 
101,"4127 Ulloa St, San Francisco, CA 94116",2 - Outer Parkside,2020,1769800,1550350,-219449,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) nid = 2020 2) comp_price = 1547277 3) longitude = -122.50053 
102,"1463 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1225000,1443015,218015,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.759518  Cons: 1) comp_price = 1234128 2) nid = 2030 3) longitude = -122.500496 
103,"1459 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1371279,71279,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.759583  Cons: 1) comp_price = 1206037 2) baths = 1.0 3) nid = 2030 
104,"1500 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1485214,185214,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.758644  Cons: 1) comp_price = 1395015 2) lot_sf = 1875.0 3) nid = 2030 
105,"1519 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1420000,1455589,35589,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.758358  Cons: 1) comp_price = 1331002 2) nid = 2030 3) longitude = -122.50041 
106,"778 40th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1330000,1683858,353858,Pros: 1) year_sold = 2018 2) latitude = 37.774174 3) comp_price = 1793967  Cons: 1) rooms = 11.0 2) nid = 1050 3) longitude = -122.50041 
107,"2395 42nd Ave, San Francisco, CA 94116-2104",2 - Outer Parkside,2020,1180000,1325400,145400,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 42nd  Cons: 1) comp_price = 1273515 2) lot_sf = 1438.0 3) nid = 2020 
108,"2419 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1075000,1216610,141610,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) comp_price = 1121594 2) baths = 1.0 3) nid = 2020 
